user_id,len
34,2
8,2
35,2
41,2
7,2
30,2
20,2
25,3
21,3
176,3
14,3
51,3
166,3
42,4
10,4
43,4
44,4
31,4
74,5
3,5
19,5
72,5
24,5
32,5
1,5
29,6
182,6
119,6
173,6
47,6
46,7
145,7
152,7
78,7
109,7
23,7
87,7
68,8
178,8
28,8
4,8
39,9
52,9
106,9
59,9
86,9
67,9
73,9
164,9
66,10
18,10
54,10
56,10
142,10
148,10
61,10
15,10
36,11
133,11
113,11
146,12
167,12
122,12
141,12
155,12
120,13
127,13
71,13
137,14
105,14
89,14
96,14
99,14
134,14
114,14
80,14
153,15
163,15
94,15
128,16
98,16
75,16
88,16
180,17
168,17
95,17
170,17
140,17
107,17
126,18
50,18
93,18
162,18
179,19
64,19
76,19
121,19
161,19
138,19
116,19
144,20
81,20
77,20
131,20
139,20
150,20
171,21
60,21
147,21
6,21
90,21
79,23
125,24
108,28
85,29
174,31
103,31
91,31
63,32
83,34
158,35
62,36
172,36
58,37
57,37
26,39
169,39
124,40
45,47
11,63
16,76
27,88
38,97
17,105
33,108
2,177
40,206
